id,fuente,comuna,region,precio,divisa,superficie_m2,fecha_publicacion,fecha_scraping,tipo_propiedad,tipo_operacion,contact_type
TT-2024-10-001248,toctoc,Estación Central,Metropolitana,880000.0,CLP,89.8,2024-08-27 00:00:00.000000,2024-10-01 00:00:00.000000,Departamento,arriendo,owner_direct
TT-2024-10-003507,toctoc,Macul,Metropolitana,33.38,UF,116.7,2024-09-22 00:00:00.000000,2024-10-22 00:00:00.000000,Departamento,ARRIENDO,owner_direct
TT-2024-10-004083,toctoc,Estación Central,Metropolitana,400000.0,CLP,31.2,2024-10-14 00:00:00.000000,2024-10-22 00:00:00.000000,departamento,Arriendo,
TT-2024-10-004566,toctoc,Maipú,Metropolitana,11.89,UF,33.3,2024-09-10 00:00:00.000000,2024-10-29 00:00:00.000000,departamento,ARRIENDO,agency
TT-2024-10-002382,toctoc,Estación Central,Metropolitana,11.22,UF,23.7,2024-09-22 00:00:00.000000,2024-10-08 00:00:00.000000,DEPARTAMENTO,Arriendo,agency
TT-2024-10-000314,toctoc,Lo Barnechea,Metropolitana,28.65,UF,62.0,2024-09-30 00:00:00.000000,2024-10-01 00:00:00.000000,Departamento,arriendo,owner_direct
TT-2024-10-001013,toctoc,Independencia,Metropolitana,20.0,UF,77.7,2024-05-29 00:00:00.000000,2024-10-01 00:00:00.000000,departamento,ARRIENDO,agency
TT-2024-10-001506,toctoc,Renca,Metropolitana,415000.0,CLP,2.0,2024-09-12 00:00:00.000000,2024-10-08 00:00:00.000000,Departamento,arriendo,agency
TT-2024-10-002301,toctoc,Providencia,Metropolitana,875000.0,CLP,35.8,2024-07-13 00:00:00.000000,2024-10-08 00:00:00.000000,departamento,Arriendo,agency
TT-2024-10-002949,toctoc,Santiago,Metropolitana,12.97,UF,33.9,2024-09-22 00:00:00.000000,2024-10-15 00:00:00.000000,Departamento,Arriendo,owner_direct
TT-2024-10-002878,toctoc,Ñuñoa,Metropolitana,525000.0,CLP,24.2,2024-09-17 00:00:00.000000,2024-10-15 00:00:00.000000,DEPARTAMENTO,arriendo,agency
TT-2024-10-003398,toctoc,Las Condes,Metropolitana,965000.0,CLP,58.6,2024-10-03 00:00:00.000000,2024-10-15 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
