id,fuente,comuna,region,precio,divisa,superficie_m2,fecha_publicacion,fecha_scraping,tipo_propiedad,tipo_operacion,contact_type
TT-2024-04-004733,toctoc,Maipú,Metropolitana,355000.0,CLP,44.3,2024-04-15 00:00:00.000000,2024-04-29 00:00:00.000000,departamento,arriendo,agency
TT-2024-04-004549,toctoc,Quilicura,Metropolitana,460000.0,CLP,45.3,2024-02-28 00:00:00.000000,2024-04-29 00:00:00.000000,departamento,ARRIENDO,owner_direct
TT-2024-04-000364,toctoc,Puente Alto,Metropolitana,520000.0,CLP,57.0,2024-03-26 00:00:00.000000,2024-04-01 00:00:00.000000,DEPARTAMENTO,Arriendo,agency
TT-2024-04-000202,toctoc,Ñuñoa,Metropolitana,1200000.0,CLP,107.1,2024-03-21 00:00:00.000000,2024-04-01 00:00:00.000000,departamento,arriendo,agency
TT-2024-04-000975,toctoc,Providencia,Metropolitana,1000000.0,CLP,48.8,2024-03-20 00:00:00.000000,2024-04-01 00:00:00.000000,Departamento,arriendo,owner_direct
TT-2024-04-000014,toctoc,Las Condes,Metropolitana,925000.0,CLP,47.3,2024-03-17 00:00:00.000000,2024-04-01 00:00:00.000000,departamento,arriendo,agency
TT-2024-04-001234,toctoc,Quilicura,Metropolitana,360000.0,CLP,27.1,2024-03-25 00:00:00.000000,2024-04-08 00:00:00.000000,departamento,Arriendo,agency
TT-2024-04-003914,toctoc,Puente Alto,Metropolitana,12.3,UF,42.2,2023-11-05 00:00:00.000000,2024-04-22 00:00:00.000000,Departamento,arriendo,owner_direct
TT-2024-04-002838,toctoc,San Miguel,Metropolitana,785000.0,CLP,85.2,2024-04-06 00:00:00.000000,2024-04-15 00:00:00.000000,Departamento,Arriendo,owner_direct
TT-2024-04-001514,toctoc,Estación Central,Metropolitana,15.0,UF,52.1,2024-03-30 00:00:00.000000,2024-04-08 00:00:00.000000,DEPARTAMENTO,ARRIENDO,owner_direct
TT-2024-04-004291,toctoc,Conchalí,Metropolitana,11.22,UF,39.6,2024-01-17 00:00:00.000000,2024-04-29 00:00:00.000000,departamento,Arriendo,owner_direct
TT-2024-04-004505,toctoc,Las Condes,Metropolitana,1420000.0,CLP,67.6,2024-04-07 00:00:00.000000,2024-04-29 00:00:00.000000,Departamento,arriendo,owner_direct
TT-2024-04-004810,toctoc,Macul,Metropolitana,13.11,UF,34.3,2023-10-29 00:00:00.000000,2024-04-29 00:00:00.000000,departamento,Arriendo,agency
TT-2024-04-000110,toctoc,La Florida,Metropolitana,21.76,UF,71.8,2024-01-14 00:00:00.000000,2024-04-01 00:00:00.000000,Departamento,arriendo,agency
TT-2024-04-003315,toctoc,Estación Central,Metropolitana,415000.0,CLP,34.6,2024-04-07 00:00:00.000000,2024-04-22 00:00:00.000000,DEPARTAMENTO,ARRIENDO,owner_direct
TT-2024-04-001152,toctoc,Estación Central,Metropolitana,15.41,UF,54.7,2024-02-12 00:00:00.000000,2024-04-01 00:00:00.000000,DEPARTAMENTO,ARRIENDO,owner_direct
TT-2024-04-001656,toctoc,San Joaquín ,Metropolitana,15.81,UF,75.9,2024-04-03 00:00:00.000000,2024-04-08 00:00:00.000000,departamento,Arriendo,owner_direct
TT-2024-04-004249,toctoc,Providencia,Metropolitana,770000.0,CLP,38.7,2024-02-25 00:00:00.000000,2024-04-29 00:00:00.000000,DEPARTAMENTO,Arriendo,owner_direct
TT-2024-04-002039,toctoc,Las Condes,Metropolitana,785000.0,CLP,44.7,2024-01-29 00:00:00.000000,2024-04-08 00:00:00.000000,Departamento,arriendo,agency
TT-2024-04-003704,toctoc,Ñuñoa,Metropolitana,27.16,UF,67.5,2024-04-16 00:00:00.000000,2024-04-22 00:00:00.000000,departamento,arriendo,agency
TT-2024-04-004194,toctoc,La Florida,Metropolitana,490000.0,CLP,32.7,2024-03-11 00:00:00.000000,2024-04-22 00:00:00.000000,Departamento,arriendo,owner_direct
TT-2024-04-002134,toctoc,Vitacura,Metropolitana,2300000.0,CLP,136.4,2023-10-07 00:00:00.000000,2024-04-15 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
TT-2024-04-000307,toctoc,Vitacura,Metropolitana,103.78,UF,400.0,2023-12-17 00:00:00.000000,2024-04-01 00:00:00.000000,Departamento,Arriendo,agency
TT-2024-04-004601,toctoc,La Cisterna,Metropolitana,13.51,UF,67.4,2024-04-21 00:00:00.000000,2024-04-29 00:00:00.000000,DEPARTAMENTO,ARRIENDO,owner_direct
TT-2024-04-002207,toctoc,Independencia,Metropolitana,480000.0,CLP,54.2,2024-03-28 00:00:00.000000,2024-04-15 00:00:00.000000,Departamento,ARRIENDO,agency
TT-2024-04-003868,toctoc,Recoleta,Metropolitana,410000.0,CLP,28.6,2024-02-07 00:00:00.000000,2024-04-22 00:00:00.000000,Departamento,arriendo,
TT-2024-04-000263,toctoc,Estación Central,Metropolitana,335000.0,CLP,24.6,2024-02-06 00:00:00.000000,2024-04-01 00:00:00.000000,departamento,Arriendo,agency
TT-2024-04-003572,toctoc,Recoleta,Metropolitana,515000.0,CLP,37.6,2024-04-20 00:00:00.000000,2024-04-22 00:00:00.000000,DEPARTAMENTO,ARRIENDO,owner_direct
TT-2024-04-000836,toctoc,Maipú,Metropolitana,9.19,UF,32.1,2024-03-28 00:00:00.000000,2024-04-01 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
TT-2024-04-001693,toctoc,La Cisterna,Metropolitana,655000.0,CLP,74.7,2023-12-28 00:00:00.000000,2024-04-08 00:00:00.000000,Departamento,arriendo,agency
TT-2024-04-004748,toctoc,La Florida,Metropolitana,1055000.0,CLP,114.0,2024-03-20 00:00:00.000000,2024-04-29 00:00:00.000000,Departamento,ARRIENDO,agency
TT-2024-04-001505,toctoc,Conchalí,Metropolitana,17.97,UF,72.1,2024-03-30 00:00:00.000000,2024-04-08 00:00:00.000000,DEPARTAMENTO,Arriendo,owner_direct
TT-2024-04-002879,toctoc,Las Condes,Metropolitana,20.54,UF,28.2,2024-03-28 00:00:00.000000,2024-04-15 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
TT-2024-04-001217,toctoc,Providencia,Metropolitana,1075000.0,CLP,61.3,2024-03-24 00:00:00.000000,2024-04-08 00:00:00.000000,departamento,ARRIENDO,agency
TT-2024-04-002292,toctoc,Macul,Metropolitana,650000.0,CLP,57.4,2024-03-14 00:00:00.000000,2024-04-15 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
TT-2024-04-001927,toctoc,Ñuñoa,Metropolitana,19.46,UF,47.7,2024-04-05 00:00:00.000000,2024-04-08 00:00:00.000000,Departamento,arriendo,owner_direct
TT-2024-04-004449,toctoc,Ñuñoa,Metropolitana,19.86,UF,62.5,2024-04-05 00:00:00.000000,2024-04-29 00:00:00.000000,Departamento,arriendo,agency
