fecha,valor
2023-01-01 03:00:00+00:00,35122.26
2023-01-02 03:00:00+00:00,35133.53
2023-01-03 03:00:00+00:00,35144.81
2023-01-04 03:00:00+00:00,35156.09
2023-01-05 03:00:00+00:00,35167.38
2023-01-06 03:00:00+00:00,35178.67
2023-01-07 03:00:00+00:00,35189.96
2023-01-08 03:00:00+00:00,35201.26
2023-01-09 03:00:00+00:00,35212.56
2023-01-10 03:00:00+00:00,35215.96
2023-01-11 03:00:00+00:00,35219.37
2023-01-12 03:00:00+00:00,35222.77
2023-01-13 03:00:00+00:00,35226.17
2023-01-14 03:00:00+00:00,35229.58
2023-01-15 03:00:00+00:00,35232.98
2023-01-16 03:00:00+00:00,35236.39
2023-01-17 03:00:00+00:00,35239.79
2023-01-18 03:00:00+00:00,35243.2
2023-01-19 03:00:00+00:00,35246.6
2023-01-20 03:00:00+00:00,35250.01
2023-01-21 03:00:00+00:00,35253.41
2023-01-22 03:00:00+00:00,35256.82
2023-01-23 03:00:00+00:00,35260.23
2023-01-24 03:00:00+00:00,35263.64
2023-01-25 03:00:00+00:00,35267.04
2023-01-26 03:00:00+00:00,35270.45
2023-01-27 03:00:00+00:00,35273.86
2023-01-28 03:00:00+00:00,35277.27
2023-01-29 03:00:00+00:00,35280.68
2023-01-30 03:00:00+00:00,35284.09
2023-01-31 03:00:00+00:00,35287.5
2023-02-01 03:00:00+00:00,35290.91
2023-02-02 03:00:00+00:00,35294.32
2023-02-03 03:00:00+00:00,35297.73
2023-02-04 03:00:00+00:00,35301.14
2023-02-05 03:00:00+00:00,35304.55
2023-02-06 03:00:00+00:00,35307.96
2023-02-07 03:00:00+00:00,35311.37
2023-02-08 03:00:00+00:00,35314.79
2023-02-09 03:00:00+00:00,35318.2
2023-02-10 03:00:00+00:00,35328.25
2023-02-11 03:00:00+00:00,35338.31
2023-02-12 03:00:00+00:00,35348.37
2023-02-13 03:00:00+00:00,35358.43
2023-02-14 03:00:00+00:00,35368.49
2023-02-15 03:00:00+00:00,35378.56
2023-02-16 03:00:00+00:00,35388.63
2023-02-17 03:00:00+00:00,35398.7
2023-02-18 03:00:00+00:00,35408.77
2023-02-19 03:00:00+00:00,35418.85
2023-02-20 03:00:00+00:00,35428.93
2023-02-21 03:00:00+00:00,35439.02
2023-02-22 03:00:00+00:00,35449.1
2023-02-23 03:00:00+00:00,35459.19
2023-02-24 03:00:00+00:00,35469.28
2023-02-25 03:00:00+00:00,35479.38
2023-02-26 03:00:00+00:00,35489.48
2023-02-27 03:00:00+00:00,35499.58
2023-02-28 03:00:00+00:00,35509.68
2023-03-01 03:00:00+00:00,35519.79
2023-03-02 03:00:00+00:00,35529.9
2023-03-03 03:00:00+00:00,35540.01
2023-03-04 03:00:00+00:00,35550.13
2023-03-05 03:00:00+00:00,35560.24
2023-03-06 03:00:00+00:00,35570.37
2023-03-07 03:00:00+00:00,35580.49
2023-03-08 03:00:00+00:00,35590.62
2023-03-09 03:00:00+00:00,35600.75
2023-03-10 03:00:00+00:00,35599.6
2023-03-11 03:00:00+00:00,35598.45
2023-03-12 03:00:00+00:00,35597.3
2023-03-13 03:00:00+00:00,35596.15
2023-03-14 03:00:00+00:00,35595.01
2023-03-15 03:00:00+00:00,35593.86
2023-03-16 03:00:00+00:00,35592.71
2023-03-17 03:00:00+00:00,35591.56
2023-03-18 03:00:00+00:00,35590.41
2023-03-19 03:00:00+00:00,35589.26
2023-03-20 03:00:00+00:00,35588.11
2023-03-21 03:00:00+00:00,35586.96
2023-03-22 03:00:00+00:00,35585.82
2023-03-23 03:00:00+00:00,35584.67
2023-03-24 03:00:00+00:00,35583.52
2023-03-25 03:00:00+00:00,35582.37
2023-03-26 03:00:00+00:00,35581.22
2023-03-27 03:00:00+00:00,35580.07
2023-03-28 03:00:00+00:00,35578.93
2023-03-29 03:00:00+00:00,35577.78
2023-03-30 03:00:00+00:00,35576.63
2023-03-31 03:00:00+00:00,35575.48
2023-04-01 03:00:00+00:00,35574.33
2023-04-02 04:00:00+00:00,35573.19
2023-04-03 04:00:00+00:00,35572.04
2023-04-04 04:00:00+00:00,35570.89
2023-04-05 04:00:00+00:00,35569.74
2023-04-06 04:00:00+00:00,35568.59
2023-04-07 04:00:00+00:00,35567.44
2023-04-08 04:00:00+00:00,35566.3
2023-04-09 04:00:00+00:00,35565.15
2023-04-10 04:00:00+00:00,35578.12
2023-04-11 04:00:00+00:00,35591.1
2023-04-12 04:00:00+00:00,35604.08
2023-04-13 04:00:00+00:00,35617.07
2023-04-14 04:00:00+00:00,35630.06
2023-04-15 04:00:00+00:00,35643.05
2023-04-16 04:00:00+00:00,35656.05
2023-04-17 04:00:00+00:00,35669.06
2023-04-18 04:00:00+00:00,35682.07
2023-04-19 04:00:00+00:00,35695.08
2023-04-20 04:00:00+00:00,35708.1
2023-04-21 04:00:00+00:00,35721.12
2023-04-22 04:00:00+00:00,35734.15
2023-04-23 04:00:00+00:00,35747.19
2023-04-24 04:00:00+00:00,35760.22
2023-04-25 04:00:00+00:00,35773.27
2023-04-26 04:00:00+00:00,35786.31
2023-04-27 04:00:00+00:00,35799.37
2023-04-28 04:00:00+00:00,35812.42
2023-04-29 04:00:00+00:00,35825.49
2023-04-30 04:00:00+00:00,35838.55
2023-05-01 04:00:00+00:00,35851.62
2023-05-02 04:00:00+00:00,35864.7
2023-05-03 04:00:00+00:00,35877.78
2023-05-04 04:00:00+00:00,35890.87
2023-05-05 04:00:00+00:00,35903.96
2023-05-06 04:00:00+00:00,35917.05
2023-05-07 04:00:00+00:00,35930.15
2023-05-08 04:00:00+00:00,35943.26
2023-05-09 04:00:00+00:00,35956.37
2023-05-10 04:00:00+00:00,35959.84
2023-05-11 04:00:00+00:00,35963.32
2023-05-12 04:00:00+00:00,35966.79
2023-05-13 04:00:00+00:00,35970.27
2023-05-14 04:00:00+00:00,35973.75
2023-05-15 04:00:00+00:00,35977.22
2023-05-16 04:00:00+00:00,35980.7
2023-05-17 04:00:00+00:00,35984.18
2023-05-18 04:00:00+00:00,35987.65
2023-05-19 04:00:00+00:00,35991.13
2023-05-20 04:00:00+00:00,35994.61
2023-05-21 04:00:00+00:00,35998.09
2023-05-22 04:00:00+00:00,36001.57
2023-05-23 04:00:00+00:00,36005.05
2023-05-24 04:00:00+00:00,36008.52
2023-05-25 04:00:00+00:00,36012.0
2023-05-26 04:00:00+00:00,36015.48
2023-05-27 04:00:00+00:00,36018.96
2023-05-28 04:00:00+00:00,36022.44
2023-05-29 04:00:00+00:00,36025.93
2023-05-30 04:00:00+00:00,36029.41
2023-05-31 04:00:00+00:00,36032.89
2023-06-01 04:00:00+00:00,36036.37
2023-06-02 04:00:00+00:00,36039.85
2023-06-03 04:00:00+00:00,36043.34
2023-06-04 04:00:00+00:00,36046.82
2023-06-05 04:00:00+00:00,36050.3
2023-06-06 04:00:00+00:00,36053.79
2023-06-07 04:00:00+00:00,36057.27
2023-06-08 04:00:00+00:00,36060.75
2023-06-09 04:00:00+00:00,36064.24
2023-06-10 04:00:00+00:00,36065.44
2023-06-11 04:00:00+00:00,36066.64
2023-06-12 04:00:00+00:00,36067.84
2023-06-13 04:00:00+00:00,36069.05
2023-06-14 04:00:00+00:00,36070.25
2023-06-15 04:00:00+00:00,36071.45
2023-06-16 04:00:00+00:00,36072.65
2023-06-17 04:00:00+00:00,36073.85
2023-06-18 04:00:00+00:00,36075.06
2023-06-19 04:00:00+00:00,36076.26
2023-06-20 04:00:00+00:00,36077.46
2023-06-21 04:00:00+00:00,36078.66
2023-06-22 04:00:00+00:00,36079.86
2023-06-23 04:00:00+00:00,36081.07
2023-06-24 04:00:00+00:00,36082.27
2023-06-25 04:00:00+00:00,36083.47
2023-06-26 04:00:00+00:00,36084.67
2023-06-27 04:00:00+00:00,36085.87
2023-06-28 04:00:00+00:00,36087.08
2023-06-29 04:00:00+00:00,36088.28
2023-06-30 04:00:00+00:00,36089.48
2023-07-01 04:00:00+00:00,36090.68
2023-07-02 04:00:00+00:00,36091.89
2023-07-03 04:00:00+00:00,36093.09
2023-07-04 04:00:00+00:00,36094.29
2023-07-05 04:00:00+00:00,36095.49
2023-07-06 04:00:00+00:00,36096.7
2023-07-07 04:00:00+00:00,36097.9
2023-07-08 04:00:00+00:00,36099.1
2023-07-09 04:00:00+00:00,36100.3
2023-07-10 04:00:00+00:00,36097.97
2023-07-11 04:00:00+00:00,36095.64
2023-07-12 04:00:00+00:00,36093.31
2023-07-13 04:00:00+00:00,36090.98
2023-07-14 04:00:00+00:00,36088.64
2023-07-15 04:00:00+00:00,36086.31
2023-07-16 04:00:00+00:00,36083.98
2023-07-17 04:00:00+00:00,36081.65
2023-07-18 04:00:00+00:00,36079.32
2023-07-19 04:00:00+00:00,36076.99
2023-07-20 04:00:00+00:00,36074.66
2023-07-21 04:00:00+00:00,36072.33
2023-07-22 04:00:00+00:00,36070.0
2023-07-23 04:00:00+00:00,36067.68
2023-07-24 04:00:00+00:00,36065.35
2023-07-25 04:00:00+00:00,36063.02
2023-07-26 04:00:00+00:00,36060.69
2023-07-27 04:00:00+00:00,36058.36
2023-07-28 04:00:00+00:00,36056.03
2023-07-29 04:00:00+00:00,36053.7
2023-07-30 04:00:00+00:00,36051.37
2023-07-31 04:00:00+00:00,36049.05
2023-08-01 04:00:00+00:00,36046.72
2023-08-02 04:00:00+00:00,36044.39
2023-08-03 04:00:00+00:00,36042.06
2023-08-04 04:00:00+00:00,36039.73
2023-08-05 04:00:00+00:00,36037.41
2023-08-06 04:00:00+00:00,36035.08
2023-08-07 04:00:00+00:00,36032.75
2023-08-08 04:00:00+00:00,36030.43
2023-08-09 04:00:00+00:00,36028.1
2023-08-10 04:00:00+00:00,36032.74
2023-08-11 04:00:00+00:00,36037.38
2023-08-12 04:00:00+00:00,36042.02
2023-08-13 04:00:00+00:00,36046.66
2023-08-14 04:00:00+00:00,36051.31
2023-08-15 04:00:00+00:00,36055.95
2023-08-16 04:00:00+00:00,36060.59
2023-08-17 04:00:00+00:00,36065.24
2023-08-18 04:00:00+00:00,36069.88
2023-08-19 04:00:00+00:00,36074.53
2023-08-20 04:00:00+00:00,36079.17
2023-08-21 04:00:00+00:00,36083.82
