id,fuente,comuna,region,precio_clp,precio_uf,superficie_total_m2,fecha_publicacion,fecha_scraping,tipo_propiedad,tipo_operacion,contact_type
PI-2023-09-003485,portalinmobiliario,Maipú,Metropolitana,780000,22.29,105.7,2023-09-11 00:00:00.000000,2023-09-22 00:00:00.000000,departamento,arriendo,agency
PI-2023-09-000148,portalinmobiliario,Santiago,Metropolitana,555000,15.86,50.8,2023-08-08 00:00:00.000000,2023-09-01 00:00:00.000000,DEPARTAMENTO,Arriendo,owner_direct
PI-2023-09-002385,portalinmobiliario,Quilicura,Metropolitana,435000,12.43,35.6,2023-08-01 00:00:00.000000,2023-09-15 00:00:00.000000,departamento,Arriendo,owner_direct
PI-2023-09-000161,portalinmobiliario,Providencia,Metropolitana,900000,25.71,46.0,2023-07-21 00:00:00.000000,2023-09-01 00:00:00.000000,departamento,Arriendo,agency
PI-2023-09-000478,portalinmobiliario,Recoleta,Metropolitana,365000,10.43,31.0,2023-07-09 00:00:00.000000,2023-09-01 00:00:00.000000,Departamento,Arriendo,agency
PI-2023-09-002759,portalinmobiliario,La Florida,Metropolitana,635000,18.14,72.6,2023-08-11 00:00:00.000000,2023-09-15 00:00:00.000000,Departamento,Arriendo,agency
PI-2023-09-003614,portalinmobiliario,Independencia,Metropolitana,610000,17.43,59.6,2023-08-22 00:00:00.000000,2023-09-22 00:00:00.000000,departamento,ARRIENDO,owner_direct
PI-2023-09-005008,portalinmobiliario,Santiago,Metropolitana,710000,20.29,61.9,2023-03-04 00:00:00.000000,2023-09-29 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
PI-2023-09-005028,portalinmobiliario,Estación Central,Metropolitana,470000,13.43,41.6,2023-09-13 00:00:00.000000,2023-09-29 00:00:00.000000,departamento,ARRIENDO,owner_direct
PI-2023-09-002396,portalinmobiliario,Santiago,Metropolitana,545000,15.57,45.1,2023-08-01 00:00:00.000000,2023-09-15 00:00:00.000000,Departamento,arriendo,agency
PI-2023-09-002389,portalinmobiliario,Ñuñoa,Metropolitana,605000,17.29,52.5,2023-07-21 00:00:00.000000,2023-09-15 00:00:00.000000,DEPARTAMENTO,arriendo,owner_direct
PI-2023-09-000393,portalinmobiliario,Estación Central,Metropolitana,595000,17.0,72.9,2023-07-17 00:00:00.000000,2023-09-01 00:00:00.000000,Departamento,Arriendo,owner_direct
PI-2023-09-004278,portalinmobiliario,Estación Central,Metropolitana,780000,22.29,99.1,2023-07-17 00:00:00.000000,2023-09-29 00:00:00.000000,Departamento,Arriendo,owner_direct
