id,fuente,comuna,region,precio_clp,precio_uf,superficie_total_m2,fecha_publicacion,fecha_scraping,tipo_propiedad,tipo_operacion,contact_type
PI-2023-10-002176,portalinmobiliario,Santiago,Metropolitana,490000,14.0,28.2,2023-09-20 00:00:00.000000,2023-10-15 00:00:00.000000,DEPARTAMENTO,arriendo,owner_direct
PI-2023-10-004332,portalinmobiliario,La Cisterna,Metropolitana,540000,15.43,54.5,2023-10-08 00:00:00.000000,2023-10-29 00:00:00.000000,Departamento,Arriendo,agency
PI-2023-10-001427,portalinmobiliario,Conchalí,Metropolitana,515000,14.71,45.9,2023-10-06 00:00:00.000000,2023-10-08 00:00:00.000000,departamento,Arriendo,agency
PI-2023-10-000298,portalinmobiliario,Maipú ,Metropolitana,535000,15.29,52.6,2023-09-15 00:00:00.000000,2023-10-01 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
PI-2023-10-003675,portalinmobiliario,Las Condes,Metropolitana,1865000,53.29,137.8,2023-10-05 00:00:00.000000,2023-10-22 00:00:00.000000,Departamento,ARRIENDO,owner_direct
PI-2023-10-002611,portalinmobiliario,Santiago,Metropolitana,560000,16.0,46.4,2023-08-17 00:00:00.000000,2023-10-15 00:00:00.000000,DEPARTAMENTO,Arriendo,agency
PI-2023-10-001467,portalinmobiliario,Las Condes,Metropolitana,1110000,31.71,50.2,2023-09-23 00:00:00.000000,2023-10-08 00:00:00.000000,DEPARTAMENTO,arriendo,agency
PI-2023-10-002066,portalinmobiliario,Santiago,Metropolitana,540000,15.43,34.7,2023-08-06 00:00:00.000000,2023-10-15 00:00:00.000000,DEPARTAMENTO,Arriendo,owner_direct
PI-2023-10-004368,portalinmobiliario,Independencia,Metropolitana,730000,20.86,91.1,2023-10-21 00:00:00.000000,2023-10-29 00:00:00.000000,DEPARTAMENTO,Arriendo,owner_direct
PI-2023-10-001364,portalinmobiliario,Las Condes,Metropolitana,810000,23.14,33.2,2023-04-05 00:00:00.000000,2023-10-08 00:00:00.000000,departamento,arriendo,owner_direct
PI-2023-10-000823,portalinmobiliario,Recoleta,Metropolitana,385000,11.0,50.2,2023-08-20 00:00:00.000000,2023-10-01 00:00:00.000000,Departamento,Arriendo,owner_direct
PI-2023-10-001275,portalinmobiliario,Santiago,Metropolitana,715000,20.43,44.9,2023-09-24 00:00:00.000000,2023-10-08 00:00:00.000000,DEPARTAMENTO,arriendo,agency
PI-2023-10-001065,portalinmobiliario,Maipú,Metropolitana,500000,14.29,47.3,2023-09-09 00:00:00.000000,2023-10-08 00:00:00.000000,departamento,ARRIENDO,agency
