id,fuente,comuna,region,precio_clp,precio_uf,superficie_total_m2,fecha_publicacion,fecha_scraping,tipo_propiedad,tipo_operacion,contact_type
PI-2023-08-003439,portalinmobiliario,Cerrillos,Metropolitana,655000,18.71,78.4,2023-07-24 00:00:00.000000,2023-08-22 00:00:00.000000,Departamento,Arriendo,owner_direct
PI-2023-08-004149,portalinmobiliario,Independencia,Metropolitana,480000,13.71,35.1,2023-08-13 00:00:00.000000,2023-08-22 00:00:00.000000,departamento,Arriendo,agency
PI-2023-08-003844,portalinmobiliario,Cerrillos,Metropolitana,640000,18.29,71.4,2023-07-30 00:00:00.000000,2023-08-22 00:00:00.000000,DEPARTAMENTO,Arriendo,agency
PI-2023-08-001701,portalinmobiliario,Estación Central,Metropolitana,450000,12.86,40.2,2023-07-16 00:00:00.000000,2023-08-08 00:00:00.000000,Departamento,ARRIENDO,agency
PI-2023-08-001097,portalinmobiliario,Quilicura,Metropolitana,360000,10.29,31.8,2023-07-07 00:00:00.000000,2023-08-01 00:00:00.000000,departamento,ARRIENDO,owner_direct
PI-2023-08-002868,portalinmobiliario,Huechuraba,Metropolitana,730000,20.86,72.0,2023-08-01 00:00:00.000000,2023-08-15 00:00:00.000000,DEPARTAMENTO,Arriendo,agency
PI-2023-08-002915,portalinmobiliario,Ñuñoa,Metropolitana,715000,20.43,57.5,2023-08-04 00:00:00.000000,2023-08-15 00:00:00.000000,departamento,arriendo,agency
PI-2023-08-000015,portalinmobiliario,Lo Barnechea,Metropolitana,890000,25.43,54.8,2023-07-28 00:00:00.000000,2023-08-01 00:00:00.000000,departamento,arriendo,agency
PI-2023-08-002717,portalinmobiliario,Quilicura,Metropolitana,400000,11.43,29.1,2023-06-19 00:00:00.000000,2023-08-15 00:00:00.000000,Departamento,Arriendo,owner_direct
PI-2023-08-003918,portalinmobiliario,Santiago,Metropolitana,580000,16.57,47.2,2023-07-28 00:00:00.000000,2023-08-22 00:00:00.000000,departamento,Arriendo,owner_direct
PI-2023-08-003274,portalinmobiliario,Providencia,Metropolitana,780000,22.29,35.2,2023-07-21 00:00:00.000000,2023-08-15 00:00:00.000000,departamento,arriendo,agency
PI-2023-08-004276,portalinmobiliario,Las Condes,Metropolitana,1155000,33.0,83.5,2023-08-06 00:00:00.000000,2023-08-22 00:00:00.000000,Departamento,ARRIENDO,agency
PI-2023-08-000823,portalinmobiliario,Las Condes,Metropolitana,1195000,34.14,70.3,2023-07-09 00:00:00.000000,2023-08-01 00:00:00.000000,DEPARTAMENTO,arriendo,agency
