id,fuente,comuna,region,precio_clp,precio_uf,superficie_total_m2,fecha_publicacion,fecha_scraping,tipo_propiedad,tipo_operacion,contact_type
PI-2023-02-002128,portalinmobiliario,Puente Alto,Metropolitana,405000,11.57,35.9,2023-01-15 00:00:00.000000,2023-02-08 00:00:00.000000,departamento,arriendo,agency
PI-2023-02-001671,portalinmobiliario,San Joaquín,Metropolitana,495000,14.14,37.8,2022-12-22 00:00:00.000000,2023-02-08 00:00:00.000000,departamento,arriendo,agency
PI-2023-02-004578,portalinmobiliario,La Reina,Metropolitana,1025000,29.29,78.1,2023-02-08 00:00:00.000000,2023-02-22 00:00:00.000000,DEPARTAMENTO,arriendo,agency
PI-2023-02-004689,portalinmobiliario,San Miguel,Metropolitana,700000,20.0,69.1,2022-12-28 00:00:00.000000,2023-02-22 00:00:00.000000,DEPARTAMENTO,Arriendo,agency
PI-2023-02-004697,portalinmobiliario,Recoleta,Metropolitana,445000,12.71,42.7,2022-10-11 00:00:00.000000,2023-02-22 00:00:00.000000,departamento,arriendo,owner_direct
PI-2023-02-002511,portalinmobiliario,Independencia,Metropolitana,760000,21.71,96.0,2023-02-09 00:00:00.000000,2023-02-15 00:00:00.000000,departamento,arriendo,agency
PI-2023-02-000956,portalinmobiliario,Macul,Metropolitana,1000000,28.57,93.1,2023-01-03 00:00:00.000000,2023-02-01 00:00:00.000000,Departamento,arriendo,agency
PI-2023-02-000012,portalinmobiliario,San Miguel,Metropolitana,755000,21.57,68.5,2023-01-08 00:00:00.000000,2023-02-01 00:00:00.000000,departamento,ARRIENDO,agency
PI-2023-02-003245,portalinmobiliario,Santiago,Metropolitana,475000,13.57,29.1,2023-01-08 00:00:00.000000,2023-02-15 00:00:00.000000,departamento,Arriendo,agency
PI-2023-02-003941,portalinmobiliario,Maipú,Metropolitana,550000,15.71,63.2,2023-01-18 00:00:00.000000,2023-02-22 00:00:00.000000,departamento,arriendo,agency
PI-2023-02-004054,portalinmobiliario,Ñuñoa,Metropolitana,675000,19.29,47.3,2023-01-28 00:00:00.000000,2023-02-22 00:00:00.000000,DEPARTAMENTO,ARRIENDO,owner_direct
PI-2023-02-002467,portalinmobiliario,Ñuñoa,Metropolitana,510000,14.57,28.3,2023-01-18 00:00:00.000000,2023-02-15 00:00:00.000000,DEPARTAMENTO,arriendo,agency
PI-2023-02-004584,portalinmobiliario,Puente Alto,Metropolitana,395000,11.29,36.2,2022-12-19 00:00:00.000000,2023-02-22 00:00:00.000000,DEPARTAMENTO,Arriendo,agency
PI-2023-02-001646,portalinmobiliario,Peñalolén,Metropolitana,585000,16.71,54.5,2023-01-05 00:00:00.000000,2023-02-08 00:00:00.000000,departamento,ARRIENDO,agency
PI-2023-02-001517,portalinmobiliario,Vitacura,Metropolitana,1400000,40.0,65.2,2023-01-17 00:00:00.000000,2023-02-08 00:00:00.000000,departamento,ARRIENDO,agency
PI-2023-02-003362,portalinmobiliario,Santiago,Metropolitana,4905000,140.14,30.3,2022-10-09 00:00:00.000000,2023-02-15 00:00:00.000000,departamento,Arriendo,agency
PI-2023-02-002583,portalinmobiliario,Las Condes,Metropolitana,845000,24.14,46.9,2023-02-07 00:00:00.000000,2023-02-15 00:00:00.000000,departamento,arriendo,agency
PI-2023-02-000089,portalinmobiliario,Cerrillos,Metropolitana,605000,17.29,77.3,2023-01-17 00:00:00.000000,2023-02-01 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
PI-2023-02-004644,portalinmobiliario,Macul,Metropolitana,490000,,35.3,2023-02-02 00:00:00.000000,2023-02-22 00:00:00.000000,Departamento,ARRIENDO,owner_direct
PI-2023-02-002419,portalinmobiliario,La Reina,Metropolitana,2275000,65.0,47.7,2023-01-24 00:00:00.000000,2023-02-15 00:00:00.000000,Departamento,ARRIENDO,agency
PI-2023-02-001090,portalinmobiliario,Ñuñoa,Metropolitana,660000,18.86,47.3,2023-01-16 00:00:00.000000,2023-02-01 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
PI-2023-02-003766,portalinmobiliario,La Cisterna,Metropolitana,500000,14.29,41.3,2023-01-27 00:00:00.000000,2023-02-22 00:00:00.000000,Departamento,arriendo,owner_direct
PI-2023-02-000329,portalinmobiliario,Independencia,Metropolitana,495000,14.14,58.2,2023-01-19 00:00:00.000000,2023-02-01 00:00:00.000000,DEPARTAMENTO,Arriendo,owner_direct
PI-2023-02-003897,portalinmobiliario,Providencia,Metropolitana,1025000,29.29,51.3,2023-01-03 00:00:00.000000,2023-02-22 00:00:00.000000,Departamento,Arriendo,agency
PI-2023-02-002428,portalinmobiliario,Estación Central,Metropolitana,465000,13.29,44.4,2023-01-29 00:00:00.000000,2023-02-15 00:00:00.000000,departamento,arriendo,agency
PI-2023-02-003771,portalinmobiliario,Las Condes,Metropolitana,885000,25.29,48.6,2023-02-15 00:00:00.000000,2023-02-22 00:00:00.000000,Departamento,Arriendo,agency
PI-2023-02-001723,portalinmobiliario,Maipú,Metropolitana,475000,13.57,53.8,2023-01-14 00:00:00.000000,2023-02-08 00:00:00.000000,departamento,Arriendo,agency
PI-2023-02-002348,portalinmobiliario,Santiago,Metropolitana,495000,14.14,38.4,2023-02-11 00:00:00.000000,2023-02-15 00:00:00.000000,Departamento,ARRIENDO,owner_direct
PI-2023-02-002470,portalinmobiliario,Las Condes,Metropolitana,795000,22.71,22.5,2023-01-27 00:00:00.000000,2023-02-15 00:00:00.000000,departamento,arriendo,agency
PI-2023-02-001370,portalinmobiliario,Santiago,Metropolitana,470000,13.43,34.2,2023-01-23 00:00:00.000000,2023-02-08 00:00:00.000000,departamento,Arriendo,agency
PI-2023-02-002662,portalinmobiliario,Las Condes,Metropolitana,725000,20.71,31.1,2023-02-05 00:00:00.000000,2023-02-15 00:00:00.000000,DEPARTAMENTO,Arriendo,agency
PI-2023-02-001111,portalinmobiliario,Santiago,Metropolitana,645000,18.43,45.1,2022-12-02 00:00:00.000000,2023-02-01 00:00:00.000000,DEPARTAMENTO,arriendo,agency
PI-2023-02-000100,portalinmobiliario,La Cisterna,Metropolitana,550000,15.71,55.9,2023-01-20 00:00:00.000000,2023-02-01 00:00:00.000000,DEPARTAMENTO,Arriendo,agency
PI-2023-02-001788,portalinmobiliario,Lo Barnechea,Metropolitana,775000,22.14,38.5,2023-01-29 00:00:00.000000,2023-02-08 00:00:00.000000,DEPARTAMENTO,arriendo,agency
PI-2023-02-003415,portalinmobiliario,La Cisterna,Metropolitana,610000,17.43,65.0,2022-12-31 00:00:00.000000,2023-02-22 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
PI-2023-02-000952,portalinmobiliario,San Miguel,Metropolitana,445000,12.71,33.3,2023-01-08 00:00:00.000000,2023-02-01 00:00:00.000000,DEPARTAMENTO,arriendo,agency
PI-2023-02-001354,portalinmobiliario,Las Condes,Metropolitana,785000,22.43,39.4,2022-12-20 00:00:00.000000,2023-02-08 00:00:00.000000,DEPARTAMENTO,Arriendo,agency
PI-2023-02-000745,portalinmobiliario,Santiago,Metropolitana,660000,18.86,79.2,2022-12-21 00:00:00.000000,2023-02-01 00:00:00.000000,departamento,arriendo,agency
PI-2023-02-001559,portalinmobiliario,Macul,Metropolitana,675000,19.29,50.1,2023-01-04 00:00:00.000000,2023-02-08 00:00:00.000000,Departamento,Arriendo,agency
PI-2023-02-000799,portalinmobiliario,Providencia,Metropolitana,1035000,29.57,53.7,2023-01-06 00:00:00.000000,2023-02-01 00:00:00.000000,Departamento,arriendo,owner_direct
PI-2023-02-002863,portalinmobiliario,Independencia,Metropolitana,590000,16.86,58.2,2023-01-13 00:00:00.000000,2023-02-15 00:00:00.000000,DEPARTAMENTO,Arriendo,agency
PI-2023-02-003037,portalinmobiliario,Estación Central,Metropolitana,820000,23.43,112.0,2023-01-24 00:00:00.000000,2023-02-15 00:00:00.000000,DEPARTAMENTO,arriendo,agency
PI-2023-02-004251,portalinmobiliario,Ñuñoa,Metropolitana,755000,21.57,46.0,2023-01-10 00:00:00.000000,2023-02-22 00:00:00.000000,DEPARTAMENTO,ARRIENDO,owner_direct
PI-2023-02-003455,portalinmobiliario,Providencia,Metropolitana,795000,22.71,28.3,2022-08-08 00:00:00.000000,2023-02-22 00:00:00.000000,DEPARTAMENTO,Arriendo,agency
PI-2023-02-000306,portalinmobiliario,Macul,Metropolitana,535000,15.29,33.1,2022-08-23 00:00:00.000000,2023-02-01 00:00:00.000000,Departamento,ARRIENDO,agency
PI-2023-02-002391,portalinmobiliario,Conchalí,Metropolitana,695000,19.86,94.9,2023-02-03 00:00:00.000000,2023-02-15 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
PI-2023-02-003873,portalinmobiliario,Pudahuel,Metropolitana,510000,14.57,51.7,2022-12-31 00:00:00.000000,2023-02-22 00:00:00.000000,departamento,ARRIENDO,agency
PI-2023-02-004326,portalinmobiliario,Cerrillos,Metropolitana,540000,15.43,54.5,2023-01-08 00:00:00.000000,2023-02-22 00:00:00.000000,DEPARTAMENTO,Arriendo,owner_direct
PI-2023-02-001327,portalinmobiliario,Maipú,Metropolitana,640000,18.29,76.4,2023-01-30 00:00:00.000000,2023-02-08 00:00:00.000000,departamento,ARRIENDO,agency
PI-2023-02-003530,portalinmobiliario,Renca,Metropolitana,530000,15.14,62.7,2023-01-21 00:00:00.000000,2023-02-22 00:00:00.000000,Departamento,ARRIENDO,owner_direct
PI-2023-02-003234,portalinmobiliario,Lo Barnechea,Metropolitana,570000,16.29,36.4,2023-01-29 00:00:00.000000,2023-02-15 00:00:00.000000,Departamento,ARRIENDO,agency
PI-2023-02-001328,portalinmobiliario,Puente Alto,Metropolitana,455000,13.0,41.4,2023-01-16 00:00:00.000000,2023-02-08 00:00:00.000000,DEPARTAMENTO,Arriendo,agency
PI-2023-02-002458,portalinmobiliario,La Reina,Metropolitana,710000,20.29,60.7,2023-01-24 00:00:00.000000,2023-02-15 00:00:00.000000,departamento,ARRIENDO,agency
PI-2023-02-002510,portalinmobiliario,San Miguel,Metropolitana,1210000,34.57,156.5,2022-12-16 00:00:00.000000,2023-02-15 00:00:00.000000,Departamento,Arriendo,owner_direct
PI-2023-02-001867,portalinmobiliario,san miguel,Metropolitana,765000,21.86,74.6,2023-01-03 00:00:00.000000,2023-02-08 00:00:00.000000,departamento,arriendo,owner_direct
PI-2023-02-003565,portalinmobiliario,Macul,Metropolitana,770000,22.0,66.5,2023-02-11 00:00:00.000000,2023-02-22 00:00:00.000000,departamento,Arriendo,agency
PI-2023-02-004253,portalinmobiliario,macul,Metropolitana,625000,17.86,51.3,2023-02-17 00:00:00.000000,2023-02-22 00:00:00.000000,DEPARTAMENTO,arriendo,agency
PI-2023-02-000951,portalinmobiliario,Pudahuel,Metropolitana,490000,14.0,71.6,2022-11-23 00:00:00.000000,2023-02-01 00:00:00.000000,Departamento,arriendo,agency
PI-2023-02-004408,portalinmobiliario,Maipú,Metropolitana,795000,22.71,114.5,2023-02-06 00:00:00.000000,2023-02-22 00:00:00.000000,Departamento,ARRIENDO,owner_direct
