id,fuente,comuna,region,precio_clp,precio_uf,superficie_total_m2,fecha_publicacion,fecha_scraping,tipo_propiedad,tipo_operacion,contact_type
PI-2024-12-002306,portalinmobiliario, Puente Alto,Metropolitana,600000,16.22,62.4,2024-11-28 00:00:00.000000,2024-12-15 00:00:00.000000,DEPARTAMENTO,ARRIENDO,owner_direct
PI-2024-12-005082,portalinmobiliario,San Miguel,Metropolitana,495000,13.38,42.3,2024-12-05 00:00:00.000000,2024-12-29 00:00:00.000000,departamento,Arriendo,owner_direct
PI-2024-12-003292,portalinmobiliario,Providencia,Metropolitana,1830000,49.46,95.6,2024-10-15 00:00:00.000000,2024-12-22 00:00:00.000000,DEPARTAMENTO,Arriendo,agency
PI-2024-12-004392,portalinmobiliario,Santiago,Metropolitana,655000,17.7,57.2,2024-11-21 00:00:00.000000,2024-12-22 00:00:00.000000,DEPARTAMENTO,Arriendo,agency
PI-2024-12-005360,portalinmobiliario,Santiago,Metropolitana,805000,21.76,78.2,2024-12-04 00:00:00.000000,2024-12-29 00:00:00.000000,DEPARTAMENTO,ARRIENDO,owner_direct
PI-2024-12-000491,portalinmobiliario,Recoleta,Metropolitana,615000,16.62,64.7,2024-10-31 00:00:00.000000,2024-12-01 00:00:00.000000,departamento,Arriendo,owner_direct
PI-2024-12-004493,portalinmobiliario,Maipú,Metropolitana,490000,13.24,51.7,2024-12-12 00:00:00.000000,2024-12-29 00:00:00.000000,Departamento,ARRIENDO,owner_direct
PI-2024-12-004893,portalinmobiliario,La Florida,Metropolitana,720000,19.46,64.1,2024-10-04 00:00:00.000000,2024-12-29 00:00:00.000000,DEPARTAMENTO,arriendo,owner_direct
PI-2024-12-004841,portalinmobiliario,Las Condes,Metropolitana,1115000,30.14,67.6,2024-10-30 00:00:00.000000,2024-12-29 00:00:00.000000,DEPARTAMENTO,Arriendo,agency
PI-2024-12-001072,portalinmobiliario,ESTACIÓN CENTRAL,Metropolitana,360000,9.73,32.8,2024-11-15 00:00:00.000000,2024-12-08 00:00:00.000000,Departamento,ARRIENDO,agency
PI-2024-12-001122,portalinmobiliario,San Joaquín,Metropolitana,1080000,29.19,146.0,2024-12-07 00:00:00.000000,2024-12-08 00:00:00.000000,departamento,ARRIENDO,owner_direct
PI-2024-12-003992,portalinmobiliario,Santiago,Metropolitana,870000,23.51,78.0,2024-12-16 00:00:00.000000,2024-12-22 00:00:00.000000,departamento,ARRIENDO,owner_direct
PI-2024-12-004033,portalinmobiliario,La Florida,Metropolitana,455000,12.3,39.5,2024-12-14 00:00:00.000000,2024-12-22 00:00:00.000000,Departamento,arriendo,agency
PI-2024-12-001544,portalinmobiliario,Ñuñoa,Metropolitana,855000,23.11,55.1,2024-11-15 00:00:00.000000,2024-12-08 00:00:00.000000,DEPARTAMENTO,arriendo,agency
PI-2024-12-003099,portalinmobiliario,Estación Central,Metropolitana,595000,16.08,73.7,2024-12-02 00:00:00.000000,2024-12-15 00:00:00.000000,departamento,arriendo,agency
PI-2024-12-003843,portalinmobiliario, Maipú,Metropolitana,475000,12.84,31.0,2024-06-30 00:00:00.000000,2024-12-22 00:00:00.000000,departamento,ARRIENDO,agency
PI-2024-12-002602,portalinmobiliario,Providencia,Metropolitana,825000,22.3,34.1,2024-11-28 00:00:00.000000,2024-12-15 00:00:00.000000,departamento,Arriendo,agency
PI-2024-12-003865,portalinmobiliario,Santiago ,Metropolitana,685000,18.51,60.4,2024-10-04 00:00:00.000000,2024-12-22 00:00:00.000000,Departamento,arriendo,agency
PI-2024-12-005014,portalinmobiliario,Santiago,Metropolitana,975000,26.35,76.0,2024-11-06 00:00:00.000000,2024-12-29 00:00:00.000000,departamento,Arriendo,owner_direct
PI-2024-12-000838,portalinmobiliario,Recoleta,Metropolitana,590000,15.95,69.7,2024-10-10 00:00:00.000000,2024-12-01 00:00:00.000000,DEPARTAMENTO,Arriendo,owner_direct
