id,fuente,comuna,region,precio_clp,precio_uf,superficie_total_m2,fecha_publicacion,fecha_scraping,tipo_propiedad,tipo_operacion,contact_type
PI-2024-01-004613,portalinmobiliario,La Florida,Metropolitana,535000,14.46,43.8,2023-06-16 00:00:00.000000,2024-01-29 00:00:00.000000,Departamento,Arriendo,owner_direct
PI-2024-01-000683,portalinmobiliario,La Reina,Metropolitana,725000,19.59,54.2,2023-11-28 00:00:00.000000,2024-01-01 00:00:00.000000,Departamento,Arriendo,agency
PI-2024-01-000328,portalinmobiliario,Pudahuel,Metropolitana,495000,13.38,57.1,2023-12-24 00:00:00.000000,2024-01-01 00:00:00.000000,Departamento,Arriendo,owner_direct
PI-2024-01-004819,portalinmobiliario,Providencia,Metropolitana,570000,15.41,10.0,2024-01-03 00:00:00.000000,2024-01-29 00:00:00.000000,departamento,Arriendo,agency
PI-2024-01-000777,portalinmobiliario,Maipú,Metropolitana,400000,10.81,23.3,2023-11-14 00:00:00.000000,2024-01-01 00:00:00.000000,departamento,Arriendo,agency
PI-2024-01-002555,portalinmobiliario,Vitacura,Metropolitana,1190000,32.16,56.2,2023-12-04 00:00:00.000000,2024-01-15 00:00:00.000000,departamento,ARRIENDO,agency
PI-2024-01-000176,portalinmobiliario,La Reina,Metropolitana,985000,26.62,69.8,2023-11-29 00:00:00.000000,2024-01-01 00:00:00.000000,Departamento,Arriendo,agency
PI-2024-01-003517,portalinmobiliario,Estación Central,Metropolitana,715000,19.32,84.0,2023-12-13 00:00:00.000000,2024-01-22 00:00:00.000000,Departamento,Arriendo,agency
PI-2024-01-003102,portalinmobiliario,Las Condes,Metropolitana,860000,23.24,39.9,2023-09-12 00:00:00.000000,2024-01-22 00:00:00.000000,Departamento,ARRIENDO,agency
PI-2024-01-001200,portalinmobiliario,Quinta Normal,Metropolitana,865000,23.38,96.6,2023-12-25 00:00:00.000000,2024-01-08 00:00:00.000000,Departamento,ARRIENDO,agency
PI-2024-01-002369,portalinmobiliario,Quinta Normal,Metropolitana,1990000,53.78,97.7,2023-12-24 00:00:00.000000,2024-01-15 00:00:00.000000,departamento,ARRIENDO,agency
PI-2024-01-001592,portalinmobiliario,La Florida,Metropolitana,565000,15.27,43.2,2023-12-31 00:00:00.000000,2024-01-08 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
PI-2024-01-002387,portalinmobiliario,La Cisterna,Metropolitana,445000,12.03,45.9,2023-12-06 00:00:00.000000,2024-01-15 00:00:00.000000,departamento,ARRIENDO,agency
PI-2024-01-004638,portalinmobiliario,Providencia,Metropolitana,735000,19.86,37.8,2023-12-17 00:00:00.000000,2024-01-29 00:00:00.000000,departamento,arriendo,owner_direct
PI-2024-01-002937,portalinmobiliario,Conchalí,Metropolitana,485000,13.11,47.1,2023-12-14 00:00:00.000000,2024-01-15 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
PI-2024-01-003152,portalinmobiliario,Las Condes,Metropolitana,990000,26.76,53.5,2023-12-20 00:00:00.000000,2024-01-22 00:00:00.000000,DEPARTAMENTO,Arriendo,agency
