id,fuente,comuna,region,precio_clp,precio_uf,superficie_total_m2,fecha_publicacion,fecha_scraping,tipo_propiedad,tipo_operacion,contact_type
PI-2024-09-004926,portalinmobiliario,San Joaquín,Metropolitana,465000,12.57,45.0,2024-09-13 00:00:00.000000,2024-09-29 00:00:00.000000,Departamento,Arriendo,owner_direct
PI-2024-09-004924,portalinmobiliario,PROVIDENCIA,Metropolitana,1020000,27.57,46.9,2024-09-06 00:00:00.000000,2024-09-29 00:00:00.000000,departamento,Arriendo,agency
PI-2024-09-002960,portalinmobiliario,Santiago,Metropolitana,370000,10.0,28.9,2024-09-10 00:00:00.000000,2024-09-22 00:00:00.000000,DEPARTAMENTO,arriendo,agency
PI-2024-09-001105,portalinmobiliario,Santiago,Metropolitana,570000,15.41,38.4,2024-08-11 00:00:00.000000,2024-09-08 00:00:00.000000,Departamento,ARRIENDO,owner_direct
PI-2024-09-000927,portalinmobiliario,Conchalí,Metropolitana,450000,12.16,55.9,2024-07-06 00:00:00.000000,2024-09-08 00:00:00.000000,departamento,arriendo,owner_direct
PI-2024-09-002279,portalinmobiliario,Quilicura,Metropolitana,480000,12.97,36.4,2024-08-21 00:00:00.000000,2024-09-15 00:00:00.000000,departamento,Arriendo,agency
PI-2024-09-002549,portalinmobiliario,La Florida,Metropolitana,550000,14.86,54.3,2024-09-08 00:00:00.000000,2024-09-15 00:00:00.000000,DEPARTAMENTO,arriendo,agency
PI-2024-09-004626,portalinmobiliario,SAN JOAQUÍN,Metropolitana,965000,26.08,128.3,2024-08-29 00:00:00.000000,2024-09-29 00:00:00.000000,Departamento,ARRIENDO,agency
PI-2024-09-004939,portalinmobiliario,Conchalí,Metropolitana,565000,15.27,68.2,2024-06-25 00:00:00.000000,2024-09-29 00:00:00.000000,departamento,ARRIENDO,owner_direct
PI-2024-09-002579,portalinmobiliario,Maipú,Metropolitana,625000,16.89,69.4,2024-08-22 00:00:00.000000,2024-09-15 00:00:00.000000,departamento,Arriendo,agency
PI-2024-09-001237,portalinmobiliario,Renca,Metropolitana,470000,12.7,67.3,2024-07-02 00:00:00.000000,2024-09-08 00:00:00.000000,DEPARTAMENTO,arriendo,agency
PI-2024-09-004391,portalinmobiliario,San Miguel,Metropolitana,635000,17.16,71.2,2024-08-11 00:00:00.000000,2024-09-29 00:00:00.000000,DEPARTAMENTO,arriendo,agency
PI-2024-09-002670,portalinmobiliario,Independencia,Metropolitana,990000,26.76,34.3,2024-07-23 00:00:00.000000,2024-09-15 00:00:00.000000,DEPARTAMENTO,Arriendo,owner_direct
PI-2024-09-001252,portalinmobiliario,Ñuñoa,Metropolitana,775000,20.95,48.7,2024-06-25 00:00:00.000000,2024-09-08 00:00:00.000000,DEPARTAMENTO,Arriendo,owner_direct
PI-2024-09-005068,portalinmobiliario,Recoleta,Metropolitana,630000,17.03,63.2,2024-09-16 00:00:00.000000,2024-09-29 00:00:00.000000,DEPARTAMENTO,Arriendo,agency
PI-2024-09-003907,portalinmobiliario,Independencia,Metropolitana,440000,11.89,36.2,2024-08-27 00:00:00.000000,2024-09-29 00:00:00.000000,Departamento,ARRIENDO,agency
PI-2024-09-003072,portalinmobiliario,Maipú,Metropolitana,475000,12.84,59.7,2024-09-18 00:00:00.000000,2024-09-22 00:00:00.000000,Departamento,ARRIENDO,owner_direct
PI-2024-09-004602,portalinmobiliario,Santiago,Metropolitana,780000,21.08,63.5,2024-04-25 00:00:00.000000,2024-09-29 00:00:00.000000,DEPARTAMENTO,arriendo,agency
PI-2024-09-003339,portalinmobiliario,Estación Central,Metropolitana,530000,14.32,57.0,2024-08-22 00:00:00.000000,2024-09-22 00:00:00.000000,Departamento,arriendo,agency
PI-2024-09-000258,portalinmobiliario,Macul,Metropolitana,365000,9.86,25.9,2024-07-31 00:00:00.000000,2024-09-01 00:00:00.000000,departamento,ARRIENDO,owner_direct
PI-2024-09-003449,portalinmobiliario,Ñuñoa,Metropolitana,840000,22.7,68.3,2024-08-23 00:00:00.000000,2024-09-22 00:00:00.000000,Departamento,ARRIENDO,agency
