id,fuente,comuna,region,precio_clp,precio_uf,superficie_total_m2,fecha_publicacion,fecha_scraping,tipo_propiedad,tipo_operacion,contact_type
PI-2024-08-000693,portalinmobiliario,Huechuraba,Metropolitana,1120000,30.27,131.5,2024-07-20 00:00:00.000000,2024-08-01 00:00:00.000000,DEPARTAMENTO,ARRIENDO,owner_direct
PI-2024-08-001301,portalinmobiliario,La Florida,Metropolitana,520000,14.05,45.7,2024-07-26 00:00:00.000000,2024-08-08 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
PI-2024-08-004130,portalinmobiliario,Quinta Normal,Metropolitana,550000,14.86,61.7,2024-07-21 00:00:00.000000,2024-08-29 00:00:00.000000,DEPARTAMENTO,arriendo,owner_direct
PI-2024-08-003711,portalinmobiliario,Providencia,Metropolitana,815000,22.03,63.1,2024-07-24 00:00:00.000000,2024-08-22 00:00:00.000000,departamento,arriendo,agency
PI-2024-08-002246,portalinmobiliario,Quinta Normal,Metropolitana,435000,11.76,37.6,2024-08-01 00:00:00.000000,2024-08-15 00:00:00.000000,DEPARTAMENTO,ARRIENDO,owner_direct
PI-2024-08-003593,portalinmobiliario,Maipú,Metropolitana,1055000,28.51,134.8,2024-07-24 00:00:00.000000,2024-08-22 00:00:00.000000,departamento,Arriendo,agency
PI-2024-08-001696,portalinmobiliario,Santiago,Metropolitana,750000,20.27,58.6,2024-07-31 00:00:00.000000,2024-08-08 00:00:00.000000,Departamento,Arriendo,owner_direct
PI-2024-08-001492,portalinmobiliario,Santiago,Metropolitana,575000,15.54,41.0,2024-07-23 00:00:00.000000,2024-08-08 00:00:00.000000,departamento,ARRIENDO,agency
PI-2024-08-003489,portalinmobiliario,Estación Central,Metropolitana,455000,12.3,33.5,2024-03-10 00:00:00.000000,2024-08-22 00:00:00.000000,DEPARTAMENTO,arriendo,owner_direct
PI-2024-08-003983,portalinmobiliario,Ñuñoa,Metropolitana,855000,23.11,52.9,2024-07-25 00:00:00.000000,2024-08-29 00:00:00.000000,departamento,ARRIENDO,owner_direct
PI-2024-08-000657,portalinmobiliario,La Florida,Metropolitana,465000,12.57,35.3,2024-07-09 00:00:00.000000,2024-08-01 00:00:00.000000,Departamento,ARRIENDO,owner_direct
PI-2024-08-000835,portalinmobiliario,Providencia,Metropolitana,820000,22.16,38.7,2024-06-12 00:00:00.000000,2024-08-01 00:00:00.000000,departamento,ARRIENDO,agency
PI-2024-08-001210,portalinmobiliario, Providencia,Metropolitana,965000,26.08,48.1,2024-07-30 00:00:00.000000,2024-08-08 00:00:00.000000,departamento,ARRIENDO,agency
PI-2024-08-000908,portalinmobiliario,Lo Barnechea,Metropolitana,1015000,27.43,58.4,2024-07-25 00:00:00.000000,2024-08-01 00:00:00.000000,DEPARTAMENTO,arriendo,agency
PI-2024-08-001943,portalinmobiliario,Quinta Normal,Metropolitana,870000,23.51,87.9,2024-06-30 00:00:00.000000,2024-08-08 00:00:00.000000,departamento,ARRIENDO,owner_direct
PI-2024-08-002196,portalinmobiliario,Peñalolén,Metropolitana,505000,13.65,42.7,2024-07-30 00:00:00.000000,2024-08-08 00:00:00.000000,departamento,ARRIENDO,agency
PI-2024-08-003147,portalinmobiliario,Santiago,Metropolitana,505000,13.65,31.4,2024-07-08 00:00:00.000000,2024-08-22 00:00:00.000000,Departamento,Arriendo,owner_direct
PI-2024-08-002869,portalinmobiliario,Peñalolén,Metropolitana,355000,9.59,10.0,2024-08-12 00:00:00.000000,2024-08-15 00:00:00.000000,DEPARTAMENTO,Arriendo,agency
PI-2024-08-001896,portalinmobiliario,Independencia,Metropolitana,560000,15.14,61.9,2024-07-24 00:00:00.000000,2024-08-08 00:00:00.000000,departamento,Arriendo,owner_direct
PI-2024-08-002569,portalinmobiliario,Santiago,Metropolitana,605000,16.35,44.4,2024-07-20 00:00:00.000000,2024-08-15 00:00:00.000000,departamento,ARRIENDO,agency
