id,fuente,comuna,region,precio_clp,precio_uf,superficie_total_m2,fecha_publicacion,fecha_scraping,tipo_propiedad,tipo_operacion,contact_type
PI-2024-07-004883,portalinmobiliario, Santiago,Metropolitana,575000,15.54,35.0,2024-07-17 00:00:00.000000,2024-07-29 00:00:00.000000,Departamento,Arriendo,owner_direct
PI-2024-07-003116,portalinmobiliario,Las Condes,Metropolitana,1280000,34.59,63.2,2024-06-22 00:00:00.000000,2024-07-15 00:00:00.000000,Departamento,arriendo,agency
PI-2024-07-003848,portalinmobiliario,Santiago,Metropolitana,460000,12.43,36.9,2024-06-20 00:00:00.000000,2024-07-22 00:00:00.000000,DEPARTAMENTO,arriendo,agency
PI-2024-07-004205,portalinmobiliario,La Florida,Metropolitana,555000,15.0,55.8,2024-07-03 00:00:00.000000,2024-07-22 00:00:00.000000,Departamento,Arriendo,agency
PI-2024-07-001031,portalinmobiliario,Independencia,Metropolitana,590000,15.95,62.6,2024-04-12 00:00:00.000000,2024-07-01 00:00:00.000000,departamento,arriendo,owner_direct
PI-2024-07-002737,portalinmobiliario,Maipú,Metropolitana,590000,15.95,75.8,2024-06-26 00:00:00.000000,2024-07-15 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
PI-2024-07-002092,portalinmobiliario,Ñuñoa,Metropolitana,570000,15.41,33.8,2024-06-29 00:00:00.000000,2024-07-08 00:00:00.000000,departamento,ARRIENDO,agency
PI-2024-07-002228,portalinmobiliario,Santiago,Metropolitana,670000,18.11,59.8,2024-06-08 00:00:00.000000,2024-07-08 00:00:00.000000,departamento,ARRIENDO,agency
PI-2024-07-001210,portalinmobiliario,Santiago,Metropolitana,645000,17.43,67.1,2024-06-19 00:00:00.000000,2024-07-08 00:00:00.000000,Departamento,Arriendo,agency
PI-2024-07-000806,portalinmobiliario,Providencia,Metropolitana,1150000,31.08,61.2,2024-06-17 00:00:00.000000,2024-07-01 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
PI-2024-07-002693,portalinmobiliario,Estación Central,Metropolitana,540000,14.59,47.8,2024-05-12 00:00:00.000000,2024-07-15 00:00:00.000000,Departamento,Arriendo,agency
PI-2024-07-003995,portalinmobiliario,Conchalí,Metropolitana,560000,15.14,68.0,2024-07-01 00:00:00.000000,2024-07-22 00:00:00.000000,DEPARTAMENTO,arriendo,owner_direct
PI-2024-07-004819,portalinmobiliario,Huechuraba,Metropolitana,560000,15.14,44.6,2024-07-12 00:00:00.000000,2024-07-29 00:00:00.000000,departamento,ARRIENDO,agency
PI-2024-07-003438,portalinmobiliario,Macul,Metropolitana,595000,16.08,54.1,2024-07-08 00:00:00.000000,2024-07-22 00:00:00.000000,departamento,arriendo,agency
PI-2024-07-004780,portalinmobiliario,San Miguel,Metropolitana,510000,13.78,40.7,2024-07-22 00:00:00.000000,2024-07-29 00:00:00.000000,Departamento,Arriendo,agency
PI-2024-07-005128,portalinmobiliario,Independencia,Metropolitana,995000,26.89,106.6,2024-05-28 00:00:00.000000,2024-07-29 00:00:00.000000,departamento,Arriendo,owner_direct
PI-2024-07-004019,portalinmobiliario,Las Condes,Metropolitana,1375000,37.16,79.1,2024-06-27 00:00:00.000000,2024-07-22 00:00:00.000000,departamento,Arriendo,agency
PI-2024-07-001264,portalinmobiliario,Santiago,Metropolitana,890000,24.05,68.2,2024-06-23 00:00:00.000000,2024-07-08 00:00:00.000000,departamento,Arriendo,owner_direct
PI-2024-07-000015,portalinmobiliario,Macul,Metropolitana,435000,11.76,39.1,2024-06-06 00:00:00.000000,2024-07-01 00:00:00.000000,Departamento,arriendo,agency
PI-2024-07-003108,portalinmobiliario,Providencia,Metropolitana,875000,23.65,47.7,2024-01-24 00:00:00.000000,2024-07-15 00:00:00.000000,DEPARTAMENTO,arriendo,agency
PI-2024-07-004133,portalinmobiliario,Independencia,Metropolitana,460000,12.43,42.7,2024-07-14 00:00:00.000000,2024-07-22 00:00:00.000000,Departamento,arriendo,agency
PI-2024-07-003603,portalinmobiliario,Estación Central,Metropolitana,405000,10.95,24.7,2024-06-15 00:00:00.000000,2024-07-22 00:00:00.000000,departamento,ARRIENDO,agency
PI-2024-07-004921,portalinmobiliario,Huechuraba,Metropolitana,970000,26.22,88.9,2024-04-29 00:00:00.000000,2024-07-29 00:00:00.000000,Departamento,ARRIENDO,owner_direct
PI-2024-07-003071,portalinmobiliario,Santiago,Metropolitana,480000,12.97,30.3,2024-05-28 00:00:00.000000,2024-07-15 00:00:00.000000,departamento,arriendo,owner_direct
PI-2024-07-004841,portalinmobiliario,Maipú,Metropolitana,410000,11.08,28.0,2024-06-07 00:00:00.000000,2024-07-29 00:00:00.000000,Departamento,Arriendo,owner_direct
