id,fuente,comuna,region,precio,divisa,superficie_m2,fecha_publicacion,fecha_scraping,tipo_propiedad,tipo_operacion,contact_type
TT-2023-10-002867,toctoc,Cerrillos,Metropolitana,615000.0,CLP,64.7,2023-10-10 00:00:00.000000,2023-10-15 00:00:00.000000,departamento,arriendo,owner_direct
TT-2023-10-000891,toctoc,Macul,Metropolitana,22.86,UF,73.8,2023-09-04 00:00:00.000000,2023-10-01 00:00:00.000000,Departamento,Arriendo,owner_direct
TT-2023-10-004544,toctoc,Santiago,Metropolitana,470000.0,CLP,27.6,2023-10-22 00:00:00.000000,2023-10-29 00:00:00.000000,DEPARTAMENTO,Arriendo,agency
TT-2023-10-001072,toctoc,San Miguel,Metropolitana,1015000.0,CLP,121.7,2023-08-20 00:00:00.000000,2023-10-01 00:00:00.000000,departamento,ARRIENDO,agency
TT-2023-10-004764,toctoc,Las Condes,Metropolitana,800000.0,CLP,33.1,2023-10-04 00:00:00.000000,2023-10-29 00:00:00.000000,departamento,Arriendo,agency
TT-2023-10-001213,toctoc,Las Condes,Metropolitana,695000.0,CLP,29.0,2023-08-31 00:00:00.000000,2023-10-08 00:00:00.000000,DEPARTAMENTO,Arriendo,owner_direct
TT-2023-10-005290,toctoc,huechuraba,Metropolitana,34.57,UF,150.9,2023-09-23 00:00:00.000000,2023-10-29 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
TT-2023-10-001078,toctoc,Independencia,Metropolitana,11.86,UF,39.1,2023-09-20 00:00:00.000000,2023-10-01 00:00:00.000000,DEPARTAMENTO,arriendo,agency
TT-2023-10-000282,toctoc,Lo Barnechea,Metropolitana,24.14,UF,43.8,2023-09-27 00:00:00.000000,2023-10-01 00:00:00.000000,Departamento,ARRIENDO,owner_direct
TT-2023-10-000621,toctoc,Macul,Metropolitana,21.57,UF,60.3,2023-09-02 00:00:00.000000,2023-10-01 00:00:00.000000,DEPARTAMENTO,arriendo,
TT-2023-10-000713,toctoc,Providencia,Metropolitana,855000.0,CLP,37.0,2023-09-15 00:00:00.000000,2023-10-01 00:00:00.000000,departamento,arriendo,owner_direct
TT-2023-10-001597,toctoc,La Florida,Metropolitana,570000.0,CLP,56.8,2023-10-03 00:00:00.000000,2023-10-08 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
TT-2023-10-000830,toctoc,Las Condes,Metropolitana,23.0,UF,48.2,2023-07-30 00:00:00.000000,2023-10-01 00:00:00.000000,Departamento,Arriendo,agency
TT-2023-10-005171,toctoc,Puente Alto,Metropolitana,355000.0,CLP,45.7,2023-10-12 00:00:00.000000,2023-10-29 00:00:00.000000,Departamento,arriendo,agency
TT-2023-10-004162,toctoc,Independencia,Metropolitana,525000.0,CLP,47.0,2023-09-04 00:00:00.000000,2023-10-22 00:00:00.000000,Departamento,arriendo,owner_direct
TT-2023-10-003028,toctoc,Maipú,Metropolitana,515000.0,CLP,70.3,2023-07-12 00:00:00.000000,2023-10-15 00:00:00.000000,departamento,Arriendo,agency
TT-2023-10-004234,toctoc,Conchalí,Metropolitana,610000.0,CLP,78.9,2023-09-28 00:00:00.000000,2023-10-29 00:00:00.000000,DEPARTAMENTO,ARRIENDO,owner_direct
TT-2023-10-001461,toctoc,Puente Alto,Metropolitana,15.57,UF,64.4,2023-09-04 00:00:00.000000,2023-10-08 00:00:00.000000,departamento,arriendo,agency
TT-2023-10-003561,toctoc,Renca,Metropolitana,11.86,UF,36.1,2023-09-19 00:00:00.000000,2023-10-22 00:00:00.000000,departamento,Arriendo,agency
